,A01_02,B05_06,B07_08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31T33,D,E,F,G,H49,H51,H52,I,J58T60,J61,J62_63,K,L,M,N
C21,0.0020376827540729,0.0001899241042176,0.0003095881722216,0.0002929620183359,0.0009730926639073,0.0005537166192343,0.00020587427944,0.0014192814276013,4.410344315580718e-05,0.0016287305472956,0.0722761470620852,0.0019089098917735,0.0005293027906019,0.0002481285221633,0.0003092849932343,0.0004318497072579,0.0008020457561708,0.00030633567826,0.0008286277219225,0.0005862932331188,0.0007142603108366,0.0008716413385379,0.0001245634986621,9.379830838358458e-05,4.643769311829109e-05,0.0002009527524616,0.0009474330001786,0.0001769124101454,0.000841632767569,0.0010700426727861,0.0010887711403063,0.0002306025698779,8.874249095280785e-05,0.0014356368300361,0.0005535884590508
C22,0.0019667568256621,0.0003038785667482,0.00110998686138,0.0007324050458399,0.010246434062215,0.0089449662680721,0.005718729984445,0.010626257929929,0.0001852344612543,0.0030043914079596,0.0035078708216355,0.0201368052089104,0.0024112682682977,0.0010114391454285,0.0072639017161021,0.0128458330459987,0.0173321008923208,0.008292944432896,0.0332760047395684,0.0167093571438869,0.0002370988583689,0.0025770265661121,0.0069900681773518,0.0051516917066061,0.0019206153589693,5.910375072402094e-05,0.006865006329163,0.0035668663869022,0.000496347529592,0.0005704745574793,0.001669449081803,0.0002395406539817,0.0002718175510286,0.0008113412880407,0.0012679550844268
C23,0.0015527027571016,0.0002268537911489,0.0010797831372608,0.0158888812297511,0.0087752106298789,0.0003623586699401,0.0029508646719736,0.0002385861020536,7.644596813673245e-05,0.00028389227667,0.0024397504217032,0.0012671212212635,0.074420952548985,0.0005256960215325,0.0062973861122446,0.0026216216521755,0.007685972111826,0.0027515508243711,0.0049034728379702,0.0088136212257373,5.334724313302432e-05,0.0074089513775722,0.044664479750873,0.0011120510984323,0.0001917043228729,0.0017967540220102,0.0007843502706396,0.0047376102775703,0.0021472425736698,5.801436177756005e-05,0.0001451694853741,6.614182236809176e-05,0.0008182476921711,0.0002210540635081,0.0005407992867295
C24,0.0021737838599423,0.0008546584689795,0.0003548937584004,0.037232025918522,0.0016466448989588,0.0009486468550117,0.0008006221978223,0.0026244471225904,0.0001323103294674,0.0008143652736478,0.0006712232021432,0.0079263643494621,0.0093706197743601,0.1723357725628732,0.1861852703021972,0.0085341189531149,0.1482274069465075,0.1317079308118989,0.0623235040025678,0.0683175787050608,0.0005008713383045,0.0063667715162769,0.0388245075660231,0.0005623388968958,0.000325063851828,0.000721065758833,0.0005746724755181,0.0002445553904951,0.0014782524250892,0.0003899854319491,0.0045728387892864,0.0002466911212647,0.0001027176863784,0.0003425123401609,0.0003562698003792
C25,0.0013265065529807,0.0006742305699727,0.0015479408611081,0.0238591714344799,0.0032130262023403,0.0021985806940186,0.0023789916735291,0.0012846943956736,0.0033195191548604,0.0010933908255749,0.0002217954928821,0.0090618366126723,0.002577900628302,0.0143325763310623,0.0689147103674907,0.0089750126332996,0.0270465654098885,0.0234127982670153,0.0291840862501294,0.016363348022702,0.0007972449112657,0.0027854625383711,0.0176583876283049,0.0013348220808433,0.0002571933772705,0.0007919902597018,0.0020424170413686,0.0007466744369372,0.0054058720070783,0.0007928629442933,0.0010161863976192,0.0026349471937991,0.0002857927464543,0.0004639706168137,0.0017886571003657
C26,0.0005214014196687,0.0005718825804777,0.0006569309995922,0.0024987936858068,0.0012767703915043,0.0165382125538957,0.0006862475981334,0.0064051192012871,0.0003807597259118,0.0017244428005729,0.0008054678425718,0.0077727738983999,0.002225032101234,0.0035242661283539,0.0117442384930947,0.0124230273116677,0.0600922892112257,0.0132599586446834,0.052458508857097,0.0224377303723923,0.0048664540680236,0.0047750786372077,0.0049946334900455,0.0021654782541248,0.0008870790095673,0.0008983770110051,0.0090006135016968,0.0019096133683342,0.0288421075347713,0.0766273028478605,0.0578500399216084,0.0027082394834502,0.0003731377178645,0.0058834389210618,0.0038002112040457
C27,0.0001591041096783,0.0001624906224973,0.0010571303441714,0.0018353208795753,0.0004302790690746,0.0016774356406216,0.0003888736389422,0.0009788147776561,0.0002749114623378,0.0004250272942145,0.0002042853223914,0.0030443821549837,0.0006175199223689,0.0040184203885944,0.0072338323417599,0.0248969269710491,0.056851736626876,0.0183473190157872,0.0223752249416944,0.012994564773388,0.0046026815880881,0.0007579489900329,0.0095520853804175,0.0004789125168431,0.0011537980674775,0.0009929430121635,0.0008930720903323,0.0012019637277526,0.0033773212339631,0.0097625278791238,0.0015605719677723,0.0001966378502835,0.0003954980305455,0.0002744957052353,0.0005700316806068
C28,0.000277952962691,0.0001392776764263,0.0035791413081232,0.0070741710898187,0.0008870368500924,0.0019502225045091,0.0013953701162045,0.0012235184720701,0.0001514218215016,0.0004672055753198,0.0002568158338635,0.0025013302030136,0.0018770645259309,0.0030847842543527,0.0076118473334908,0.0129860146263652,0.0087613608162883,0.0358905068761419,0.0116440406528402,0.0045894265379384,0.000198570293884,0.0018001288513283,0.0025348067300569,0.0008130689904596,0.0026493299279025,0.0011229712637563,0.0038285612220332,0.0002237421657721,0.0024925278116469,0.0011538411953536,0.002141249909269,0.0003539481305103,0.0001180904013466,0.0004396789614831,0.0009043771855781
C29,0.0004964814988757,0.0001751522294452,0.0040775027560898,0.002826221823947,0.0022308314812025,0.0035747293506451,0.00082349711776,0.0017373962303395,0.000157302280589,0.0003925824625951,0.0004319175387704,0.0035600072406926,0.0028964624930161,0.0044579022625956,0.0052320711355484,0.005092887254442,0.010933717931657,0.0073082940384888,0.0569419767096422,0.0056947334528346,0.0009039393975318,0.0032023344828893,0.0028038880742543,0.0047810080071286,0.0129144415272047,0.0020213482747615,0.0136756517484798,0.0011499306659451,0.0040247310551701,0.0099011177433702,0.0023952965086738,0.0004755060743219,0.0002417708808635,0.0004469664580823,0.0009098582594301
C31T33,0.0007725175445826,0.0001456084799002,0.0062068653064922,0.0035500103398359,0.0015878952568352,0.0093968967440648,0.0040259859090493,0.0075674617497537,0.0002396287078132,0.0010512125444696,0.0026206888501071,0.0040756323264016,0.0058566373589751,0.0027861889141222,0.0062243604888421,0.0115163690257493,0.0062293419268519,0.0041792938962616,0.0051903055109434,0.0272001614709232,0.0005749647315448,0.0136051843710918,0.0045465677011685,0.0015747292926705,0.0011192674751588,0.00452734730546,0.0031529327710862,0.0046985854812147,0.005071376932788,0.0016147330694754,0.0028308049647963,0.0031122408849418,0.0016819147694756,0.0036121691476543,0.0027916936152797
D,0.0083960963902536,0.0017409709553287,0.0363350801153782,0.0106672640794099,0.0111591221645023,0.0168354280921612,0.0121237075670235,0.0302209062601322,0.0003836999554555,0.0063510757895044,0.0055040302575746,0.0227697843699774,0.0413787357504827,0.0331314660610648,0.0130501084645288,0.0016324371132995,0.0074665784296447,0.0062634705644234,0.0057560032826405,0.0081696598057543,0.0035416641968868,0.0043771554174404,0.0030372934649513,0.0123534175954803,0.0028743741330142,0.0046100925564736,0.0281511854561268,0.0388530872516397,0.0143401275397347,0.0063332344940503,0.0060971183857153,0.004951698593503,0.0122695228239397,0.0060850596603054,0.0082069945810449
